"","SITE_ID","DUPLICATE_ID","REVISITED_OVERLAP","WSA_SITEID","YEAR","JULDAY","DATE_COL","LAT_DD","LON_DD","STATE","ECO10","EPA_hybird","FW_ECO9","ECO3","FW_ECO3","ECOLVL3","ECO_LVL_3NAME","REALM","SITECLS","LOC_NAME","RST_FSED_AND_RMD_PHAB","RST_FRIP_AND_RMD_PHAB","COND","PHLAB","PHSTVL","PTL","NTL","XCMGW","LRP100","QR1","LINCIS_H","XCDENMID","XCMG","W1_HALL","XEMBED","XFC_NAT","PCT_SAFN","DPCT_SF","LRBS_BW4","LRBS_BW5","LRBS_BW6","LRBS_G08","LRBS_TST","LRBS_USE","XCEMBED","CVDPTH","CVDTH","LBFWD_RAT","LBFXDRAT","LBFXWRAT","LSUB_DMM","LSUB_DMM_NOR","LDMB_BW4","LDMB_BW5","LDVRP100","LINCIS_D","PCT_FN","QRDIST1","QRVEG1","QRVEG2","REFID","RP100","W1H_WALL","XCDENBK","XINC_H","XINCISION_D","XINCISION_H","RMD_PHAB","RST_FRIP","RST_FSED","RT_NRSA1","STRAHCAT","STRAHLER","NA_L2NAME","EPA_REGION","XGB","NAMC_JOINED_StreamOr_1","XSLOPE","XSLOPE_FIELD","XSLOPE_FRDATA","XSLOPE_FRREF","XSLOPE_MAP","XWD_RAT","XWIDTH","XWXD","XBKF_W","XDEPTH","V1W_MSQ","V1WM100","V2W_MSQ","V2WM100","V4W_MSQ","V4WM100","C1TM100","C1WM100","C2TM100","C2WM100","C4TM100","C4WM100","FLOWSITE","BNK_THRESH","THRESH","THRESH3","THRESH2"
"1","FW08AZ008","WAZP99-0512","Y","WAZP99-0512",2009,125,"5/5/2009",32.87105,-109.19833,"AZ","XE_SOUTH","Southern Xeric Plains","XER","XE","WMTNS",79,"Madrean Archipelago","WADEABLE",NA,"Gila River","R","R",659.56,8.67,NA,14.8875,934,0.646590909,NA,0.6102516,NA,8.8235294,0.75795455,0,96,0.15,84.761905,NA,NA,-1.52410482,-1.52410482,-1.511900013,-1.343869714,-1.511900013,94.242424,NA,0.25984596,NA,NA,NA,-0.634557593,-0.634557593,NA,0.889547227,NA,NA,28.5714286,NA,0.3909659,0.5812834,NA,10.7,0,53.4759358,0.845,NA,NA,"R",NA,NA,"S","6th",NA,"WESTERN SIERRA MADRE PIEDMONT",9,0.319047619,6,NA," 0.220000000"," 0.199580000"," 0.199580000"," 0.199580000","  33.211934","  11.3550000","4.278450e+00","  16.5909091","  37.454545","0.000000000","0.000000e+00","0.000000000","  0.00000000","0.000000000"," 0.0000000",NA,"  0.00000000",NA,"  0.00000000",NA," 0.00000000",NA,"LargeWade","XE_SOUTH_LargeWade","XE_SOUTH_LargeWade","XE_SOUTH_LargeWade"
"2","FW08AZ005","WAZP99-0545","Y","WAZP99-0545",2009,150,"5/30/2009",33.91229,-109.35649,"AZ","MT_SWEST","Southwestern Mountains","WMT","MT","WMTNS",23,"Arizona/New Mexico Mountains","WADEABLE",NA,"North Fork East Fork Black River","T","T",94.44,7.84,NA,115.4725,275,0.011363636,NA,0.1811364,NA,0,0.88636364,2.04548182,64.181818,0.154545455,44.761905,NA,NA,-0.565235775,-0.576703584,-0.663838212,-0.351435789,-0.663838212,42.727273,NA,0.34469413,NA,NA,NA,-0.051136539,-0.051136539,NA,0.514099235,NA,NA,41.9047619,NA,0.1051136,0.1721925,NA,11.8,0,8.0213904,0.736,NA,NA,"D",NA,NA,"T","3rd",NA,"UPPER GILA MOUNTAINS",9,0.022727273,1,NA," 0.075630499"," 0.075630499"," 0.075630499",NA,"  18.566371","   6.3900000","2.614300e+00","  12.0090909","  38.540000","0.000000000","0.000000e+00","0.000000000","  0.00000000","0.000000000"," 0.0000000",NA,"  0.00000000",NA,"  0.00000000",NA," 0.00000000",NA,"LargeWade","MT_SWEST_LargeWade","MT_SWEST_LargeWade","MT_SWEST_LargeWade"
"3","FW08AZ004","WAZP99-0568","Y","WAZP99-0568",2009,156,"6/5/2009",34.35251,-113.21914,"AZ","XE_SOUTH","Southern Xeric Plains","XER","XE","WMTNS",81,"Sonoran Basin and Range","WADEABLE",NA,"Santa Maria River","T","T",784.29,8.14,NA,74.6088,139,0.204545455,NA,0.2541998,NA,12.0320856,0.43409091,2.56065909,88,0.152272727,73.333333,NA,NA,-1.399383803,-1.402250756,-1.933916353,-0.125730185,-1.933916353,87.878788,NA,0.5316218,NA,NA,NA,-0.081188451,-0.081188451,NA,1.318195352,NA,NA,0,NA,0.1920455,0.3045455,NA,1.78,0,22.7272727,1.63,NA,NA,"D",NA,NA,"S","5th",NA,"WARM DESERTS",9,0.723863636,5,NA," 0.355239883"," 0.355239883"," 0.355239883",NA,"  48.722042","   2.0450000","1.091000e-01","  15.8636364","   4.553333","0.000000000","0.000000e+00","0.000000000","  0.00000000","0.000000000"," 0.0000000",NA,"  0.00000000",NA,"  0.00000000",NA," 0.00000000",NA,"LargeWade","XE_SOUTH_LargeWade","XE_SOUTH_LargeWade","XE_SOUTH_LargeWade"
"4","FW08AZ007","WAZP99-0590","Y","WAZP99-0590",2009,289,"10/16/2009",36.11781,-112.0837,"AZ","XE_EPLAT","Eastern Xeric Plateaus","XER","XE","WMTNS",22,"Arizona/New Mexico Plateau","WADEABLE",NA,"Bright Angel Creek","T","T",329.94,8.54,NA,25.1025,39,0.225,NA,0.3988384,NA,41.9786096,0.68295454,1.45455,28.909091,0.438636364,9.52381,NA,NA,-0.491687294,-0.527909247,-0.715001647,-0.088184802,-0.715001647,19.393939,NA,0.30363084,NA,NA,NA,1.641156907,1.579056376,NA,2.132844202,NA,NA,9.5238095,NA,0.20125,0.7737968,NA,8.15,0.48485,74.8663102,2.25,NA,NA,"D",NA,NA,"R","3rd",NA,"COLD DESERTS",9,0.297727273,1,NA," 1.968319280"," 1.968319280"," 1.968319280"," 3.305592000","  16.730111","   5.7500000","2.176000e+00","   9.4909091","  39.770000","0.000000000","0.000000e+00","0.000000000","  0.00000000","0.000000000"," 0.0000000",NA,"  0.00000000",NA,"  0.00000000",NA," 0.00000000",NA,"LargeWade","XE_EPLAT_LargeWade","XE_EPLAT_LargeWade","XE_EPLAT_LargeWade"
"5","FW08AZ006","WAZP99-0687","Y","WAZP99-0687",2009,150,"5/30/2009",33.75989,-109.43397,"AZ","MT_SWEST","Southwestern Mountains","WMT","MT","WMTNS",23,"Arizona/New Mexico Mountains","WADEABLE",NA,"Centerfire Creek","S","S",86.8,7.8,NA,83.8113,146,0.079545455,NA,0.3511975,NA,12.8342246,0.88636364,0,20.945455,0.118181818,10.47619,NA,NA,-0.160953937,-0.181022603,-0.15856339,0.355491746,-0.15856339,13.030303,NA,0.49724982,NA,NA,NA,1.341404715,1.341404715,NA,1.502358652,NA,NA,5.7142857,NA,0.1357955,0.318984,NA,4.19,0,24.3315508,1.19,NA,NA,"M",NA,NA,"S","2nd",NA,"UPPER GILA MOUNTAINS",9,0.095454545,2,NA," 1.170564116"," 1.170564116"," 1.170564116"," 1.462268000","  17.274968","   1.6736842","1.732105e-01","   3.2090909","  12.073333","0.000242599","7.785235e-02","0.000000000","  0.00000000","0.000000000"," 0.0000000",NA,"  1.34228188",NA,"  0.00000000",NA," 0.00000000",NA,"LargeWade","MT_SWEST_LargeWade","MT_SWEST_LargeWade","MT_SWEST_LargeWade"
"6","FW08AZ003","WAZP99-0833","Y","WAZP99-0833",2009,174,"6/23/2009",34.1926,-111.63673,"AZ","MT_SWEST","Southwestern Mountains","WMT","MT","WMTNS",23,"Arizona/New Mexico Mountains","WADEABLE",NA,"Haigler Creek","R","R",416.36,8.39,NA,13.6663,57,0.435227273,NA,0.5621637,NA,57.486631,0.66022727,0.06818182,55.327273,0.606818182,14.285714,NA,NA,0.033988678,-0.012773263,-0.02051218,0.317923406,-0.02051218,51.30303,NA,0.3783948,NA,NA,NA,1.792932511,1.605307167,NA,1.758943832,NA,NA,6.6666667,NA,0.2958523,0.6414439,NA,13.7,0,60.1604278,0.927,NA,NA,"R",NA,NA,"R","3rd",NA,"UPPER GILA MOUNTAINS",9,0.752272727,1,NA," 1.171274973"," 1.171274973"," 1.171274973",NA,"  15.277493","   4.7150000","1.697800e+00","   7.2909091","  37.210000","0.000602660","4.393939e-01","0.000000000","  0.00000000","0.000000000"," 0.0000000",NA,"  7.57575758",NA,"  0.00000000",NA," 0.00000000",NA,"LargeWade","MT_SWEST_LargeWade","MT_SWEST_LargeWade","MT_SWEST_LargeWade"
"7","FW08CA009","WCAP99-0503","Y","WCAP99-0503",2009,224,"8/12/2009",37.68389,-119.53972,"CA","MT_PNW","Pacific Northwest","WMT","MT","WMTNS",5,"Sierra Nevada","WADEABLE",NA,"Illioutte Creek","R","R",33.86,7.46,NA,16.4675,0,0.796590909,NA,0.6724021,NA,21.5240642,0.90681818,0,13.727273,0.495454545,9.52381,NA,NA,0.000846152,-0.036424228,-0.269166945,0.437753526,-0.269166945,11.363636,NA,0.59891527,NA,NA,NA,2.469188814,2.002502933,NA,2.468342662,NA,NA,0.952381,NA,0.4584659,0.6631016,NA,19.4,0,62.5668449,1,NA,NA,"R",NA,NA,"R","3rd",NA,"WESTERN CORDILLERA",9,0.603409091,1,NA," 3.400000000"," 3.400000000"," 3.400000000",NA,"  26.372833","   9.2600000","3.735850e+00","  16.9090909","  46.160000","0.002802793","4.739268e+00","0.002629555","  4.44633838","0.001867533"," 3.1578283",NA,"  8.83838384",NA,"  3.78787879",NA," 1.26262626",NA,"LargeWade","MT_PNW_LargeWade","MT_PNW_LargeWade","MT_PNW_LargeWade"
"8","FW08CA008","WCAP99-0587","Y","WCAP99-0587",2009,174,"6/23/2009",40.62833,-123.37667,"CA","MT_PNW","Pacific Northwest","WMT","MT","WMTNS",78,"Klamath Mountains","WADEABLE",NA,"Grassy Flat","R","R",431.7,8.44,NA,21.0513,248,1.097727273,NA,0.7725458,NA,97.4598931,1.37386364,0.27274091,45.454545,0.554545455,15.238095,NA,NA,-0.779233658,-0.839439657,-1.005386738,-0.099622327,-1.005386738,44.242424,NA,0.55663485,NA,NA,NA,1.670115754,1.650092108,NA,2.449349412,NA,NA,0,NA,0.5939773,0.9879679,NA,4.48,0,98.6631016,1.97,NA,NA,"R",NA,NA,"S","2nd",NA,"WESTERN CORDILLERA",9,0.406818182,4,NA," 5.575000000"," 5.575000000"," 5.575000000",NA,"  14.397803","   1.8600000","3.017500e-01","   4.8545455","  15.410000","0.008940214","4.340067e+00","0.007331114","  3.55892256","0.004038008"," 1.9602694",NA," 17.50841751",NA,"  4.04040404",NA," 0.67340067",NA,"LargeWade","MT_PNW_LargeWade","MT_PNW_LargeWade","MT_PNW_LargeWade"
"9","FW08CA004","WCAP99-0624","Y","WCAP99-0624",2008,211,"7/29/2008",38.67767,-121.44721,"CA","XE_CALIF","Xeric California","XER","XE","WMTNS",7,"Central California Valley","WADEABLE",NA,"Dry Creek","T","T",433.68,8.09,NA,805.836,2149,0.725,NA,0.5222399,NA,68.1818182,1.62386364,1.70457727,96.363636,0.520454545,96.190476,NA,NA,-0.954578653,-0.954578653,-0.855978204,-0.716007505,-0.855978204,100,NA,0.43461511,NA,NA,NA,-0.755771258,-0.843311961,NA,0.198807395,NA,NA,25.7142857,NA,0.42625,0.9037433,NA,12.8,0.06060909,89.3048128,2.39,NA,NA,"D",NA,NA,"T","3rd",NA,"MEDITERRANEAN CALIFORNIA",9,0.177272727,2,NA," 0.035809869"," 0.035809869"," 0.035809869",NA,"  30.897672","   9.9300000","3.495800e+00","  12.3363636","  37.200000","0.000071200","8.787879e-02","0.000000000","  0.00000000","0.000000000"," 0.0000000",NA,"  1.51515151",NA,"  0.00000000",NA," 0.00000000",NA,"LargeWade","XE_CALIF_LargeWade","Other","XE_CALIF_LargeWade"
"10","FW08CA015","WCAP99-0662","Y","WCAP99-0662",2008,155,"6/3/2008",32.9,-116.58976,"CA","MT_SWEST","Xeric California","XER","MT","WMTNS",8,"Southern and Central California Chaparral and Oak Woodlands","WADEABLE",NA,"Sweetwater River","R","R",367.7,8.24,NA,25.3113,154,0.897727273,NA,0.7666584,NA,73.9304813,1.36931818,0,74.545455,0.35,64.761905,NA,NA,-1.12265289,-1.12265289,-1.233821071,-0.689484945,-1.233821071,57.575758,NA,0.32410034,NA,NA,NA,0.090204065,0.090204065,NA,1.212856955,NA,NA,0.952381,NA,0.5039773,0.8941176,NA,7.39,0,88.2352941,0.464,NA,NA,"R",NA,NA,"R","3rd",NA,"MEDITERRANEAN CALIFORNIA",9,0.230681818,3,NA," 0.389636240"," 0.389636240"," 0.389636240",NA,"  12.430391","   2.6200000","6.169500e-01","   7.5818182","  22.560000","0.001839417","1.394613e+00","0.001221245","  0.92592593","0.000000000"," 0.0000000",NA,"  9.42760943",NA,"  1.34680135",NA," 0.00000000",NA,"LargeWade","MT_SWEST_LargeWade","MT_SWEST_LargeWade","MT_SWEST_LargeWade"
