VALUE,BPS_CODE,ZONE,BPS_MODEL,BPS_NAME,GROUPID,GROUPMODEL,GROUPNAME,G,GROUPVEG,R,B,RED,GREEN,BLUE
-9999,-9999,na,na,No Data,-9999,na,No Data,0,No Data,0,0,0,0,0
11,11,na,na,Open Water,11,na,Open Water,92,Open Water,0,230,0,0.36078,0.90196
12,12,na,na, PerennialIce/Snow,12,na, PerennialIce/Snow,255, PerennialIce/Snow,255,255,1,1,1
31,31,na,na,Barren-Rock/Sand/Clay,31,na,Barren-Rock/Sand/Clay,0,Barren-Rock/Sand/Clay,0,0,0,0,0
414,10010,10,1010010,Inter-Mountain Basins Sparsely Vegetated Systems,100,100,Sparsely Vegetated,255,Sparse,255,190,1,1,0.74509
415,10060,10,1010060,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,100,100,Sparsely Vegetated,78,Sparse,78,78,0.30588,0.30588,0.30588
416,10110,10,1010110,Rocky Mountain Aspen Forest and Woodland,102,102,Quaking Aspen-4,255,Hardwood,255,115,1,1,0.45098
417,10451,10,1010451,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir,135,135,Ponderosa Pine-Douglas Fir-1,209,Conifer,200,255,0.78431,0.8196,1
418,10452,10,1010452,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Larch,136,136,Western Larch-Douglas Fir-3,36,Conifer,150,181,0.58823,0.14117,0.7098
419,10453,10,1010453,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Grand Fir,137,137,Grand Fir-Douglas Fir-Beargrass-3,5,Conifer,230,8,0.90196,0.0196,0.03137
420,10460,10,1010460,Northern Rocky Mountain Subalpine Woodland and Parkland,139,139,Whitebark Pine-3,170,Conifer,255,0,1,0.66666,0
421,10471,10,1010471,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,141,141,Grand Fir-Douglas Fir-Western Red Cedar-3,147,Conifer,95,229,0.37254,0.57647,0.89803
422,10472,10,1010472,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest - Cedar Groves,142,142,Western Red Cedar-5,144,Conifer,18,84,0.07058,0.5647,0.32941
423,10530,10,1010530,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,150,150,Ponderosa Pine-1,85,Conifer,168,0,0.65882,0.33333,0
424,10550,10,1010550,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,153,153,Engelmann Spruce-Subalpine Fir-4,255,Conifer,211,190,0.82745,1,0.74509
425,10560,10,1010560,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,155,155,Engelmann Spruce-Subalpine Fir-Menziesia-4,168,Conifer,56,0,0.2196,0.65882,0
426,10620,10,1010620,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,164,164,Curlleaf Mountain Mahogany-Mountain Big Sagebrush-3,19,Shrubland,191,230,0.74902,0.07451,0.90196
427,10650,10,1010650,Columbia Plateau Scabland Shrubland,167,167,Low Sage-Scabland Sage-5,255,Shrubland,190,232,0.74509,1,0.9098
428,10700,10,1010700,Rocky Mountain Alpine Dwarf-Shrubland,170,170,Heather Moss-Arctic Willow-5,118,Shrubland,19,92,0.07451,0.46274,0.36078
429,10790,10,1010790,Great Basin Xeric Mixed Sagebrush Shrubland,177,177,Black Sage-Low Sage-3,194,Shrubland,57,207,0.22352,0.76078,0.81176
430,10800,10,1010800,Inter-Mountain Basins Big Sagebrush Shrubland,182,182,Wyoming Big Sage-Rubber Rabbitbrush-4,190,Shrubland,255,232,1,0.74509,0.9098
431,11060,10,1011060,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,205,205,Serviceberry-Common Snowberry-Rocky Mountain Maple-4,68,Shrubland,137,80,0.53725,0.26666,0.31372
432,11150,10,1011150,Inter-Mountain Basins Juniper Savanna,212,212,Western Juniper-Utah Juniper-3,112,Conifer,137,68,0.53725,0.43921,0.26666
433,11230,10,1011230,Columbia Plateau Steppe and Grassland,218,218,Indian Ricegrass-Squirreltail-4,218,Grassland,235,234,0.92156,0.8549,0.91764
434,11240,10,1011240,Columbia Plateau Low Sagebrush Steppe,219,219,Low Sage-Idaho Fescue-3,140,Shrubland,132,173,0.51764,0.54902,0.67843
435,11250,10,1011250,Inter-Mountain Basins Big Sagebrush Steppe,220,220,Wyoming Big Sage-Wheatgrass-3,115,Shrubland,255,223,1,0.45098,0.87451
436,11260,10,1011260,Inter-Mountain Basins Montane Sagebrush Steppe,222,222,Mountain Sagebrush-Bluebunch Wheatgrass-Idaho Fescue-4,0,Shrubland,230,169,0.90196,0,0.66274
437,11270,10,1011270,Inter-Mountain Basins Semi-Desert Shrub-Steppe,224,224,Spiny Hopsage-Jointfir-5,158,Shrubland,194,215,0.76078,0.6196,0.84313
438,11340,10,1011340,Columbia Basin Foothill and Canyon Dry Grassland,231,231,Bluebunch Wheatgrass-Sandberg Bluegrass-1,245,Grassland,205,122,0.80392,0.96078,0.47843
439,11350,10,1011350,Inter-Mountain Basins Semi-Desert Grassland,232,232,Indian Ricegrass-Threeawn-1,174,Grassland,185,211,0.72549,0.68235,0.82745
440,11390,10,1011390,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,236,236,Rough Fescue-Bluebunch Wheatgrass-2,205,Grassland,171,102,0.67058,0.80392,0.4
441,11400,10,1011400,Northern Rocky Mountain Subalpine-Upper Montane Grassland,238,238,Green Needlegrass-Idaho Fescue-4,205,Grassland,167,195,0.6549,0.80392,0.7647
442,11420,10,1011420,Columbia Basin Palouse Prairie,240,240,Bluebunch Wheatgrass-Idaho Fescue-1,220,Grassland,220,0,0.86274,0.86274,0
443,11450,10,1011450,Rocky Mountain Subalpine-Montane Mesic Meadow,243,243,Fleabane-Lupine-4,197,Grassland,0,255,0,0.77254,1
444,11530,10,1011530,Inter-Mountain Basins Greasewood Flat,250,250,Greasewood-Shadscale-5,225,Shrubland,225,225,0.88235,0.88235,0.88235
445,11540,10,1011540,Inter-Mountain Basins Montane Riparian Systems,259,259,Black Cottonwood-Narrowleaf Willow-3,156,Riparian,154,117,0.60392,0.61176,0.45882
446,11590,10,1011590,Rocky Mountain Montane Riparian Systems,259,259,Black Cottonwood-Narrowleaf Willow-3,124,Riparian,123,93,0.48235,0.48627,0.3647
447,11600,10,1011600,Rocky Mountain Subalpine/Upper Montane Riparian Systems,259,259,Black Cottonwood-Narrowleaf Willow-3,165,Riparian,49,167,0.19215,0.64705,0.6549
448,11610,10,1011610,Northern Rocky Mountain Conifer Swamp,260,260,Engelmann Spruce-Ladyfern-5,79,Conifer,68,137,0.26666,0.3098,0.53725
449,11660,10,1011660,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,265,265,Douglas Fir-Ninebark-3,112,Conifer,214,0,0.83921,0.43921,0
450,11670,10,1011670,Rocky Mountain Poor-Site Lodgepole Pine Forest,267,267,Lodgepole Pine-Kinnikinnick-5,255,Conifer,85,0,0.33333,1,0
451,10010,19,1910010,Inter-Mountain Basins Sparsely Vegetated Systems,100,100,Sparsely Vegetated,255,Sparse,255,190,1,1,0.74509
452,10060,19,1910060,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,100,100,Sparsely Vegetated,78,Sparse,78,78,0.30588,0.30588,0.30588
453,10090,19,1910090,Northwestern Great Plains Aspen Forest and Parkland,101,101,Quaking Aspen-Paper Birch-4,202,Hardwood,11,170,0.04313,0.79215,0.66666
454,10110,19,1910110,Rocky Mountain Aspen Forest and Woodland,102,102,Quaking Aspen-4,255,Hardwood,255,115,1,1,0.45098
455,10190,19,1910190,Great Basin Pinyon-Juniper Woodland,110,110,Singleleaf Pinyon-Utah Juniper-3,76,Conifer,115,0,0.45098,0.29803,0
456,10451,19,1910451,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir,135,135,Ponderosa Pine-Douglas Fir-1,209,Conifer,200,255,0.78431,0.8196,1
457,10452,19,1910452,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Larch,136,136,Western Larch-Douglas Fir-3,36,Conifer,150,181,0.58823,0.14117,0.7098
458,10453,19,1910453,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Grand Fir,137,137,Grand Fir-Douglas Fir-Beargrass-3,5,Conifer,230,8,0.90196,0.0196,0.03137
459,10460,19,1910460,Northern Rocky Mountain Subalpine Woodland and Parkland,139,139,Whitebark Pine-3,170,Conifer,255,0,1,0.66666,0
460,10471,19,1910471,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,141,141,Grand Fir-Douglas Fir-Western Red Cedar-3,147,Conifer,95,229,0.37254,0.57647,0.89803
461,10472,19,1910472,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest - Cedar Groves,142,142,Western Red Cedar-5,144,Conifer,18,84,0.07058,0.5647,0.32941
462,10490,19,1910490,Rocky Mountain Foothill Limber Pine-Juniper Woodland,144,144,Limber Pine-Rocky Mountain Juniper-3,205,Conifer,102,171,0.4,0.80392,0.67058
463,10530,19,1910530,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,150,150,Ponderosa Pine-1,85,Conifer,168,0,0.65882,0.33333,0
464,10550,19,1910550,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,153,153,Engelmann Spruce-Subalpine Fir-4,255,Conifer,211,190,0.82745,1,0.74509
465,10560,19,1910560,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,155,155,Engelmann Spruce-Subalpine Fir-Menziesia-4,168,Conifer,56,0,0.2196,0.65882,0
466,10620,19,1910620,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,164,164,Curlleaf Mountain Mahogany-Mountain Big Sagebrush-3,19,Shrubland,191,230,0.74902,0.07451,0.90196
467,10700,19,1910700,Rocky Mountain Alpine Dwarf-Shrubland,170,170,Heather Moss-Arctic Willow-5,118,Shrubland,19,92,0.07451,0.46274,0.36078
468,10800,19,1910800,Inter-Mountain Basins Big Sagebrush Shrubland,182,182,Wyoming Big Sage-Rubber Rabbitbrush-4,190,Shrubland,255,232,1,0.74509,0.9098
469,10810,19,1910810,Inter-Mountain Basins Mixed Salt Desert Scrub,183,183,Shadscale-Winterfat-5,202,Shrubland,245,122,0.96078,0.79215,0.47843
470,11060,19,1911060,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,205,205,Serviceberry-Common Snowberry-Rocky Mountain Maple-4,68,Shrubland,137,80,0.53725,0.26666,0.31372
471,11150,19,1911150,Inter-Mountain Basins Juniper Savanna,212,212,Western Juniper-Utah Juniper-3,112,Conifer,137,68,0.53725,0.43921,0.26666
472,11240,19,1911240,Columbia Plateau Low Sagebrush Steppe,219,219,Low Sage-Idaho Fescue-3,140,Shrubland,132,173,0.51764,0.54902,0.67843
473,11250,19,1911250,Inter-Mountain Basins Big Sagebrush Steppe,220,220,Wyoming Big Sage-Wheatgrass-3,115,Shrubland,255,223,1,0.45098,0.87451
474,11260,19,1911260,Inter-Mountain Basins Montane Sagebrush Steppe,222,222,Mountain Sagebrush-Bluebunch Wheatgrass-Idaho Fescue-4,0,Shrubland,230,169,0.90196,0,0.66274
475,11390,19,1911390,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,236,236,Rough Fescue-Bluebunch Wheatgrass-2,205,Grassland,171,102,0.67058,0.80392,0.4
476,11400,19,1911400,Northern Rocky Mountain Subalpine-Upper Montane Grassland,238,238,Green Needlegrass-Idaho Fescue-4,205,Grassland,167,195,0.6549,0.80392,0.7647
477,11430,19,1911430,Rocky Mountain Alpine Fell-Field,241,241,Dwarf Clover-Dwarf Phlox-5,130,Grassland,130,130,0.5098,0.5098,0.5098
478,11440,19,1911440,Rocky Mountain Alpine Turf,242,242,Spike Sedge-Cushion Phlox-5,43,Grassland,93,29,0.3647,0.16862,0.11372
479,11450,19,1911450,Rocky Mountain Subalpine-Montane Mesic Meadow,243,243,Fleabane-Lupine-4,197,Grassland,0,255,0,0.77254,1
480,11530,19,1911530,Inter-Mountain Basins Greasewood Flat,250,250,Greasewood-Shadscale-5,225,Shrubland,225,225,0.88235,0.88235,0.88235
481,11540,19,1911540,Inter-Mountain Basins Montane Riparian Systems,259,259,Black Cottonwood-Narrowleaf Willow-3,156,Riparian,154,117,0.60392,0.61176,0.45882
482,11590,19,1911590,Rocky Mountain Montane Riparian Systems,259,259,Black Cottonwood-Narrowleaf Willow-3,124,Riparian,123,93,0.48235,0.48627,0.3647
483,11600,19,1911600,Rocky Mountain Subalpine/Upper Montane Riparian Systems,259,259,Black Cottonwood-Narrowleaf Willow-3,165,Riparian,49,167,0.19215,0.64705,0.6549
484,11610,19,1911610,Northern Rocky Mountain Conifer Swamp,260,260,Engelmann Spruce-Ladyfern-5,79,Conifer,68,137,0.26666,0.3098,0.53725
485,11661,19,1911661,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,265,265,Douglas Fir-Ninebark-3,112,Conifer,214,0,0.83921,0.43921,0
486,11662,19,1911662,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland - Fire-maintained Savanna,264,264,Douglas Fir-Idaho Fescue-1,120,Conifer,255,0,1,0.47058,0
487,11670,19,1911670,Rocky Mountain Poor-Site Lodgepole Pine Forest,267,267,Lodgepole Pine-Kinnikinnick-5,255,Conifer,85,0,0.33333,1,0
488,10010,13,1310010,Inter-Mountain Basins Sparsely Vegetated Systems,100,100,Sparsely Vegetated,255,Sparse,255,190,1,1,0.74509
