CODE,WOODY.VS.NON,GROWTH.HABIT,DURATION
BAHO,NON-WOODY,FORB,PERENNIAL
BASA3,NON-WOODY,FORB,PERENNIAL
MARE11,NON-WOODY,FORB,PERENNIAL
BRODI,NON-WOODY,FORB,PERENNIAL
CALOC,NON-WOODY,FORB,PERENNIAL
CAMAS,NON-WOODY,FORB,PERENNIAL
CASTI2,NON-WOODY,FORB,PERENNIAL
CHDO,NON-WOODY,FORB,PERENNIAL
COUM,NON-WOODY,FORB,PERENNIAL
COAR4,NON-WOODY,FORB,PERENNIAL
CREPI,NON-WOODY,FORB,PERENNIAL
CYMOP2,NON-WOODY,FORB,PERENNIAL
CAMAS,NON-WOODY,FORB,PERENNIAL
DALEA,NON-WOODY,FORB,PERENNIAL
DENU2,NON-WOODY,FORB,PERENNIAL
ERIGE2,NON-WOODY,FORB,PERENNIAL
ERIOG,NON-WOODY,FORB,PERENNIAL
ERYSI,NON-WOODY,FORB,PERENNIAL
FRITI,NON-WOODY,FORB,PERENNIAL
GEVI2,NON-WOODY,FORB,PERENNIAL
GEUM,NON-WOODY,FORB,PERENNIAL
GRSQ,NON-WOODY,FORB,PERENNIAL
HACKE,NON-WOODY,FORB,PERENNIAL
HAAC,NON-WOODY,FORB,PERENNIAL
HEDYS,NON-WOODY,FORB,PERENNIAL
HELIA,NON-WOODY,FORB,PERENNIAL
HYCA4,NON-WOODY,FORB,PERENNIAL
IVAX,NON-WOODY,FORB,PERENNIAL
LATHY,NON-WOODY,FORB,PERENNIAL
LEPU,NON-WOODY,FORB,PERENNIAL
LIPU11,NON-WOODY,FORB,PERENNIAL
LINAN2,NON-WOODY,FORB,PERENNIAL
LIPE2,NON-WOODY,FORB,PERENNIAL
LITHO2,NON-WOODY,FORB,PERENNIAL
LIRU4,NON-WOODY,FORB,PERENNIAL
LOMAT,NON-WOODY,FORB,PERENNIAL
LOCO6,NON-WOODY,FORB,PERENNIAL
LUPIN,NON-WOODY,FORB,PERENNIAL
LYGOD,NON-WOODY,FORB,PERENNIAL
MENTH,NON-WOODY,FORB,PERENNIAL
MENTZ,NON-WOODY,FORB,PERENNIAL
MERTE,NON-WOODY,FORB,PERENNIAL
ALDE,NON-WOODY,FORB,ANNUAL
ASPR,NON-WOODY,FORB,ANNUAL
CAMI2,NON-WOODY,FORB,ANNUAL
CATI,NON-WOODY,FORB,ANNUAL
CHENO,NON-WOODY,FORB,ANNUAL
CHTE2,NON-WOODY,FORB,ANNUAL
COLLI,NON-WOODY,FORB,ANNUAL
COLLO,NON-WOODY,FORB,ANNUAL
CRYPT,NON-WOODY,FORB,ANNUAL
DESCU,NON-WOODY,FORB,ANNUAL
