"","�..","YEAR","SITEID","PLOTID","SITE.PLOT","RC_INTERP","ESG","STM","STATE_INTERP","PHASE_INTERP","REFERENCENUM","REFERENCE","ESGEN","ACHNA","ARAD","ANNUAL","ARFRI","BARTEM","CLEIST","CXDU","LEYM","ELCHN","MEADPF","MEADPG","NISB","PPFF","PPGG","SMBPG","STBA","STGBGL","STGR","STIPA","STKR","SRC","GOOD.ARTEMISIA","HIMTNMEADOWSPP","OTHER.ALLIUM","SHRUB","SUB.SHRUB","TREE","CXPED","NISB.1","POTAC","POTBI","PCT.FOLIAR.COVER","PCT.BARE.SOIL","SPECIES.COUNT","SITENAME","LINEID","TOTALWTHECTARE","RC.Class","state.Class"
"1",1,2014,"AR-BATTSENGEL","BAYANUUL-EEZGIITIIN HUJIRT","AR-Battsengel / Bayanuul-Eezgiitiin hujirt","I","Loamy",2,1,1.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,16.5,0,0,0,35,5,5,0,0,0,16.5,3,0.25,0,0,0,0,40.75,0,0,0,3.75,0,0,0,0,0,0,1.25,89,10.75,26,"Arhangai-Battsengel",1,734.2172241,"I","1"
"2",2,2014,"AR-BATTSENGEL","DAIR BOR- YASTIIN ENGER","AR-Battsengel / Dair bor- Yastiin enger","II","Loamy",2,2,2.1,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,2.5,31.5,0,0,31.5,11.5,11.5,0,0,0,13.75,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,3.75,82.75,16,13,"Arhangai-Battsengel",1,481.0112915,"III","2"
"3",3,2014,"AR-BATTSENGEL","DEL-TUULAI TOLGOI","AR-Battsengel / del-tuulai tolgoi","II","Loamy",2,2,2.1,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,29.25,2,0,0,46.75,17,17,0,0,0,3.25,0.75,0,0,0,0,0,24.75,0,0,0,0,0,0,0,0,0,0,2,84.75,14.75,10,"Arhangai-Battsengel",1,748.0175171,"I","1"
"4",4,2014,"AR-BATTSENGEL","HONOG- NUUDII","AR-Battsengel / Honog- Nuudii","I","Loamy",3,1,1.1,1,"Yes","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,1.5,0.5,0,0,32,6,6,0,0,0,18.5,8.5,2.25,57,0,0,0,0,0,1,0,0.75,0,0,0,0,0,0,2.25,90,10,20,"Arhangai-Battsengel",1,928.8217163,"I","1"
"5",5,2014,"AR-BATTSENGEL","TSATS-URT BULAG","AR-Battsengel / Tsats-Urt bulag","I","Loamy",2,1,1.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,6,9.5,0,0,20,1.5,1.5,0,0,0,18.75,10,1,0,0,0,0,37.75,0,0,0,0,0,0,0,0,0,0,0,81,17.75,21,"Arhangai-Battsengel",1,511.2119446,"I","1"
"6",6,2014,"AR-BATTSENGEL","ULAANCHULUU-ASGAT","AR-Battsengel / Ulaanchuluu-Asgat","I","Loamy",3,1,1.1,1,"Yes","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,5,21.5,0,0,34,8.25,8.25,0,0,0,20,4,4.5,29.5,0,0,0,0,0,0.75,0,0.5,0,0,0,0,0,0,3,90.75,9,27,"Arhangai-Battsengel",1,803.6187744,"III","2"
"7",7,2014,"AR-BULGAN","BAYANBULAG-HADAT UUL","AR-Bulgan / Bayanbulag-Hadat uul","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,4.25,15.5,8,0,5.5,5,5,5,0,0,29.25,3.5,11.75,0,0,0,0,2,0,0,0,0,0,3,0,9.25,0,0,15.25,60.75,39.25,26,"Arhangai-Bulgan",1,438.61026,"III","2"
"8",8,2014,"AR-BULGAN","TAMIR-TUGS","AR-Bulgan / Tamir-Tugs","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,3.75,15.75,10.5,0,7.75,4.25,4.25,4.25,0,0,29.25,4,14.5,0,0,0,0,1.5,0,0,0,0,0,4.25,0,7.75,0,0,12.5,64.75,35.25,26,"Arhangai-Bulgan",1,529.8123779,"I","1"
"9",9,2014,"AR-BULGAN","TUSGALT-BUNHAN","AR-Bulgan / Tusgalt-Bunhan","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,8.25,14,9.75,0,7,4.25,4.25,4.75,0,0,26.5,4.75,13,0,0,0,0,2,0,0,0,0,0,4,0,7.25,0,0,9,63,37,26,"Arhangai-Bulgan",1,258.0060425,"III","2"
"10",10,2014,"AR-BULGAN","ZUUN MOD-MANHAN","AR-Bulgan / Zuun mod-Manhan","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,8.75,15.25,10.75,0,7.5,4.25,4.25,4.5,0,0,26,4,14.5,0,0,0,0,1.75,0,0,0,0,0,4.25,0,7.25,0,0,8,64.25,35.75,26,"Arhangai-Bulgan",1,193.0045166,"I","1"
"11",11,2014,"AR-BULGAN","ZUUNMOD-EREEN","AR-Bulgan / Zuunmod-Ereen","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,8.5,15,13,0,9.25,4,4,4.5,0,0,29.5,4.5,16,0,0,0,0,1.75,0,0,0,0,0,4.75,0,5.25,0,0,8.75,68.25,31.75,26,"Arhangai-Bulgan",1,388.8091125,"I","1"
"12",12,2014,"AR-CHULUUT","HAIRKHAN-EMT NAMARJAA","AR-Chuluut / Hairkhan-Emt namarjaa","II","Loamy",2,2,2.1,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,0,20.5,2.25,0,29.5,0,0,0,0,0,21.5,9,8.75,0,0,0,0,15.25,0,5.5,0,2.5,0,0,0,0,0,0,0,75,9.75,17,"Arhangai-Chuluut",1,811.2189941,"I","1"
"13",13,2014,"AR-CHULUUT","HALUUN US-TSAGAAN HOTOL","AR-Chuluut / Haluun us-Tsagaan hotol","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,0,21.5,0,0,32.5,0,0,0,0,0,31.75,7.25,5.5,0,0,0,0,0,0,6.75,0,0,0,0,0,8,0,0,0,76.25,11.5,17,"Arhangai-Chuluut",1,628.4147339,"III","2"
"14",14,2014,"AR-CHULUUT","HUREM- TSAGAAN ASGA","AR-Chuluut / Hurem- Tsagaan asga","II","Loamy",3,2,2.1,1,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,14.75,0,0,37.25,0,0,0,0,0,18,9.75,15.75,3,0,0,0,0,0,3,0,1.25,0,0,0,0,0,0,0,68.5,21.25,17,"Arhangai-Chuluut",1,742.4173584,"III","2"
"15",15,2014,"AR-CHULUUT","ZUUN MOD-TSOHIOT","AR-Chuluut / Zuun mod-Tsohiot","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,1.75,16.5,0,0,30.5,0,0,0,0,0,32.25,6.5,6.5,0,0,0,0,7.25,0,6,0,0,0,0,0,1,0,0,2.5,76,11.5,25,"Arhangai-Chuluut",1,521.8121948,"I","1"
"16",16,2014,"AR-CHULUUT","ZUUNMOD-NARANGIIN ENGER","AR-Chuluut / Zuunmod-narangiin enger","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,19,0,19.25,19,0,34.5,0,0,0,0,0,13.75,5.25,17.25,0,0,0,0,7.25,0,0,0,0,0,0,0,0,0,0,0,72.75,15.25,13,"Arhangai-Chuluut",1,386.809021,"I","1"
"17",17,2014,"AR-ERDENBULGAN","BOR-TOLGOI-MAANIT","AR-Erdenbulgan / Bor-tolgoi-Maanit","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,0,21.25,0,0,33,2.25,2.25,0,0.5,0,29.25,14.75,6.75,0,0,0,0,14.5,0,0,0,5.25,0,0,0,21.5,0,6.75,5.75,95.5,0.25,26,"Arhangai-Erdenebulgan",1,722.0169067,"I","1"
"18",18,2014,"AR-ERDENBULGAN","URT BULGIIN EH","AR-Erdenbulgan / Urt bulgiin eh","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,4.75,0,1.5,0,42.25,11.25,11.25,3,7,0,42.5,9.25,11.25,0,0,0,0,3.25,0,0,0,0,0,0,0,30,0,5.5,0,99.25,NA,45,"Arhangai-Erdenebulgan",1,1898.644409,"I","1"
"19",19,2014,"AR-ERDENEMANDAL","BAGA BULAG","AR-Erdenemandal / Baga bulag","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,0,0,0,24.5,0,0,0,0,0,52.5,16.75,8.5,12,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0.75,86.5,9.75,14,"Arhangai-Erdenemandal",1,532.812439,"III","2"
"20",20,2014,"AR-ERDENEMANDAL","GONGORIIN JALGA","AR-Erdenemandal / Gongoriin jalga","I","Loamy",3,1,1.1,1,"Yes","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,0,0,0,23.25,0,0,5.75,0,0,84.5,26.25,24,28.25,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7.75,99.5,0.5,31,"Arhangai-Erdenemandal",1,1679.639282,"I","1"
"21",21,2014,"AR-ERDENEMANDAL","OLDOH ZUSLAN","AR-Erdenemandal / Oldoh zuslan","I","Loamy",3,1,1.1,1,"Yes","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,0,0,0,17.25,0,0,0,0,0,67.75,24.25,26.75,28.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.25,5.5,14,"Arhangai-Erdenemandal",1,468.6109924,"I","1"
"22",22,2014,"AR-ERDENEMANDAL","OLZIIT DENJ","AR-Erdenemandal / Olziit denj","II","Loamy",2,2,2.1,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,5.75,0,2.5,5.75,0,25,0,0,1,0,0,47.5,5.75,35.75,0,0,0,0,21.75,1,0,0,0,0,0,0,0,0,0,0.25,84.25,1.25,20,"Arhangai-Erdenemandal",1,404.4094543,"I","1"
"23",23,2014,"AR-ERDENEMANDAL","SHANAGA HAVARJAA","AR-Erdenemandal / Shanaga havarjaa","II","Loamy",3,2,2.2,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,1,0,0,1,0,25.25,0,0,0,0,0,70.25,18.75,25.75,29.25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,94.25,NA,19,"Arhangai-Erdenemandal",1,457.4107056,"I","1"
"24",24,2014,"AR-ERDENEMANDAL","SHAR ENGER","AR-Erdenemandal / Shar enger","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,0,0,0,27,0,0,6.25,0,0,87.25,21.25,11,39.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.75,99.75,0.25,29,"Arhangai-Erdenemandal",1,1336.231323,"I","1"
"25",25,2014,"AR-HAIRHAN","ASGAT-TASHGAI","AR-Hairhan / Asgat-Tashgai","I","Gravelly",1,1,1.2,2,"No","Small bunch grass-forb-ARFRI rangeland in Gravelly hills ESG, FS",0,0,4,11,0,0,14.5,0,0,0,0.25,0,19,16.75,21.75,0,0,0,0,8,1,0,0,0.25,0.25,0,0,0,0,0,4.75,89,11,26,"Arhangai Hairhan",1,206.8048248,"I","1"
