,YEAR,SITEID,PLOTID,SITE.PLOT,RC_INTERP,ESG,STM,STATE_INTERP,PHASE_INTERP,REFERENCENUM,REFERENCE,ESGEN,ACHNA,ANNUAL,ARAD,ARFRI,BARTEM,CLEIST,CXDU,LEYM,ELCHN,MEADPF,MEADPG,NISB,PPFF,PPGG,SMBPG,STBA,STGBGL,STGR,STIPA,STKR,SRC,DRYLAND CAREX,GOOD ARTEMISIA,HALOPHYTIC SHRUB,HIMTNMEADOWSPP,MEADOW CAREX,OTHER ALLIUM,OTHER CAREX,SHRUB,SUB-SHRUB,TREE,XEROPHYTIC SHRUB,CXPED,POTAC,POTBI,PCT.FOLIAR.COVER,PCT.BARE.SOIL,SPECIES.COUNT,TOTALWTHECTARE
1,2015,AR-BATTSENGEL,BAYANUUL-EEZGIITIIN HUJIRT,AR-Battsengel / Bayanuul-Eezgiitiin hujirt,I,Loamy,2,1,1.2,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,29.5,0.5,0.75,0.5,0,36.25,13.75,13.75,0,0,0,8.5,3.5,0,0,0,0,0,22.5,0,36.25,0,0,0,0,2,0,0,0,0,0.75,0,1.25,0,98.5,0.25,19,748.4174194
2,2015,AR-BATTSENGEL,DAIR BOR- YASTIIN ENGER,AR-Battsengel / Dair bor- Yastiin enger,II,Loamy,2,2,2.1,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,2,0,41,0,0,35,7.5,7.5,0,0,0,2.75,3.75,0.25,0,0,0,0,14.5,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,88.25,8.25,13,218.8051453
3,2015,AR-BATTSENGEL,DEL-TUULAI TOLGOI,AR-Battsengel / del-tuulai tolgoi,II,Loamy,2,2,2.1,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,9.25,0.5,2,0.5,0,36.5,22.25,22.25,0,0,0,15,0.75,0.25,0,0,0,0,18,0,36.5,0,0,0,0,0,0,0,0,0,0,0,0,0,92,5.25,12,327.2076721
4,2015,AR-BATTSENGEL,HONOG- NUUDII,AR-Battsengel / Honog- Nuudii,I,Loamy,3,1,1.1,1,Yes,"STBA-forbs meadow rangeland in loamy fan ESG, FS",0,1,0.25,2,0.25,0,26.25,5.5,5.5,0,0,0,17.25,17.25,0.5,52.25,0,0,0,0,0,26.25,0,0,0,0,1,0,0,0,0,0,0,0,0,93.75,5.25,18,649.21521
5,2015,AR-BATTSENGEL,TSATS-URT BULAG,AR-Battsengel / Tsats-Urt bulag,I,Loamy,2,1,1.2,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,8.5,4.75,3.5,4.75,0,7,4,4,0,0,0,13,11.75,1.75,0,0,0,0,36,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0.25,83.5,14,19,472.0110474
6,2015,AR-BATTSENGEL,ULAANCHULUU-ASGAT,AR-Battsengel / Ulaanchuluu-Asgat,I,Loamy,3,1,1.1,1,Yes,"STBA-forbs meadow rangeland in loamy fan ESG, FS",0,4.5,1.75,14.25,1.75,0,25.25,18.5,18.5,0,0,0,8.25,12.25,6.25,25.5,0,0,0,0,0,25.25,0,0,0,0,0,0,0,0,0,0,0,0.75,0,94.5,4.5,17,354.2082825
7,2015,AR-BULGAN,BAYANBULAG-HADAT UUL,AR-Bulgan / Bayanbulag-Hadat uul,III,Loamy,2,2,2.2,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,13.75,0,6.75,5.25,0,7.5,6.25,6.25,3.5,0,0,30.5,5.5,14,0,0,0,0,3.75,2,7.5,0,0,0,5,0,0,0,4.5,0,12,5,0,5,67.5,32.25,26,377.2088013
8,2015,AR-BULGAN,TAMIR-TUGS,AR-Bulgan / Tamir-Tugs,III,Loamy,2,2,2.2,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,12.75,0,6.25,5.25,0,6,6.5,6.5,4.75,0,0,29.75,3.75,14.5,0,0,0,0,2.25,2,6,0,0,0,4.75,0,0,0,4,0,9.25,4.75,0,4.25,61,39,26,193.0045166
9,2015,AR-BULGAN,TUSGALT-BUNHAN,AR-Bulgan / Tusgalt-Bunhan,III,Loamy,2,2,2.2,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,9.75,0,5.75,5.5,0,7,6,6,2.25,0,0,27.75,4.5,10.25,0,0,0,0,3.25,0,7,0,0,0,4.75,0,0,0,4.25,0,11,4.75,0,6.25,59.25,40.75,26,171.8040314
10,2015,AR-BULGAN,ZUUN MOD-MANHAN,AR-Bulgan / Zuun mod-Manhan,III,Loamy,2,2,2.2,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,10,0,6.5,4.25,0,5.25,5.75,5.75,4.75,0,0,26.75,3,13.75,0,0,0,0,1.5,0,5.25,0,0,0,4,0,0,0,3.75,0,9,4,0,4,53.25,30.25,26,178.604187
11,2015,AR-BULGAN,ZUUNMOD-EREEN,AR-Bulgan / Zuunmod-Ereen,III,Loamy,2,2,2.2,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,9.5,0,7.75,6,0,7.25,5.25,5.25,4.25,0,0,33.5,4.25,12,0,0,0,0,3.75,0,7.25,0,0,0,5.25,0,0,0,5.5,0,9,5.25,0,5.5,63.5,36.5,27,223.4052277
12,2015,AR-CHULUUT,HAIRKHAN-EMT NAMARJAA,AR-Chuluut / Hairkhan-Emt namarjaa,II,Loamy,2,2,2.1,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,2.5,0,18.5,0,0,30.75,0,0,0,0,0,13.25,9.25,7,0,0,0,0,15,0,30.75,0,0,0,4,0,0,0,0,0,0,4,0,0,66,28.5,12,556.6129761
13,2015,AR-CHULUUT,HALUUN US-TSAGAAN HOTOL,AR-Chuluut / Haluun us-Tsagaan hotol,III,Loamy,2,2,2.2,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,2.5,0,26.5,0,0,47.25,0,0,0,0,0,13.25,4.5,8.75,0,0,0,0,0,0,47.25,5.25,0,0,1.75,0,0,0,0,0,0,1.75,0,0,77.5,19,12,406.009491
14,2015,AR-CHULUUT,HUREM- TSAGAAN ASGA,AR-Chuluut / Hurem- Tsagaan asga,II,Loamy,3,2,2.1,1,No,"STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,18,0,0,20.5,0,0,1,0,0,23.5,5.5,15.25,0,0,0,0,0,NA,20.5,4.5,0,0,4.75,0.5,0,0,0,0,0,4.75,2.75,0,62.25,31.75,24,615.0144043
15,2015,AR-CHULUUT,ZUUN MOD-TSOHIOT,AR-Chuluut / Zuun mod-Tsohiot,III,Loamy,2,2,2.2,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,0,16.75,2.5,0.75,20.25,0,0,0,0,0,25,6,9.25,0,0,0,0,2,1,20.25,0.5,0,0,11,0,0,0,0,0,0,11,0.5,3.25,64.75,30,22,508.0119019
16,2015,AR-CHULUUT,ZUUNMOD-NARANGIIN ENGER,AR-Chuluut / Zuunmod-narangiin enger,III,Loamy,2,2,2.2,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,21.5,18,21.5,0,42,0,0,0,0,0,10.5,3.25,6.75,0,0,0,0,2,0,42,0,0,0,0,0,0,0,0,0,0,0,0,1.75,72,25,13,481.2112427
17,2015,AR-ERDENBULGAN,BOR-TOLGOI-MAANIT,AR-Erdenbulgan / Bor-tolgoi-Maanit,III,Loamy,2,2,2.2,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,4.25,0,22.25,0,0,54.5,0.75,0.75,0,0,0,10.25,7.75,2.75,0,0,0,0,2.75,0,54.5,0,0,0,0,0.25,0,0,0,0,0,0,0,0,86.25,5.5,20,405.2094727
18,2015,AR-ERDENBULGAN,URT BULGIIN EH,AR-Erdenbulgan / Urt bulgiin eh,III,Loamy,2,2,2.2,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,3.5,0,0,0.5,0,55.5,0,0,0,1.5,0,15,6.75,4.25,0,0,0,0,1,0,60.5,5.5,0,0,0,0.25,0,0,0,0,0.5,0,0,0,89.25,1.5,35,866.6202393
19,2015,AR-ERDENEMANDAL,BAGA BULAG,AR-Erdenemandal / Baga bulag,II,Loamy,3,2,2.1,2,No,"STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,0,0,0,52.25,0,0,0,0,0,77.5,0,0,37,0,0,0,0,0,52.25,0,0,0,0,0,0,0,0,0,0,0,0,25.75,96.25,3.75,8,1049.624512
20,2015,AR-ERDENEMANDAL,GONGORIIN JALGA,AR-Erdenemandal / Gongoriin jalga,I,Loamy,3,1,1.1,1,Yes,"STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0.75,0,0.75,0,24.75,0,0,1.25,0,0,77.75,27,14,32.75,0,0,0,0,0,24.75,0,0,0,0,0,0,0,0,0,0,0,0,15.5,97.5,2.5,21,1150.5625
21,2015,AR-ERDENEMANDAL,OLDOH ZUSLAN,AR-Erdenemandal / Oldoh zuslan,I,Loamy,3,1,1.1,1,Yes,"STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,15,0,15,0,0,0,0,0,0,0,92.25,28.75,34.5,23.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,3,11,596.6139526
22,2015,AR-ERDENEMANDAL,OLZIIT DENJ,AR-Erdenemandal / Olziit denj,II,Loamy,2,2,2.1,2,No,"SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,2.5,0,2.5,4.25,14.25,0,0,0,0,0,70,0,39.5,0,0,0,0,33.75,0,14.25,0,0,0,0,0,0,0,0,0,0,0,0,13.25,92.75,7,12,492.4115295
