"","Code","ProjectBase","n"
"1","ASTRA3","Nevada Winnemucca ESR",1
"2","ASTRAP","Idaho CRMONM AIM",37
"3","ASTRAP","Nevada BMDO",18
"4","ASTRAP","Nevada CCDO",20
"5","ASTRAP","Nevada EKDO",59
"6","ASTRAP","Nevada EYDO",11
"7","ASTRAP","Nevada Winnemucca ESR",127
"8","ASTRAP","Nevada WMDO",21
"9","ASTRAP","Utah Grand Staircase Escalante NM",1
"10","ASTRAP1","Nevada Winnemucca ESR",3
"11","CREPISP","Nevada Winnemucca ESR",6
"12","ERIGEP","Nevada Winnemucca ESR",1
"13","ERIGEP1","Nevada Winnemucca ESR",1
"14","LOMATP","Idaho CRMONM AIM",31
"15","LOMATP","Nevada BMDO",6
"16","LOMATP","Nevada CCDO",9
"17","LOMATP","Nevada EKDO",42
"18","LOMATP","Nevada SNDO",2
"19","LOMATP","Nevada Winnemucca ESR",67
"20","LOMATP","Nevada WMDO",1
"21","LUPINP","Idaho CRMONM AIM",37
"22","LUPINP","Nevada BMDO",1
"23","LUPINP","Nevada CCDO",21
"24","LUPINP","Nevada EKDO",67
"25","LUPINP","Nevada EYDO",2
"26","LUPINP","Nevada Winnemucca ESR",117
"27","LUPINP","Nevada WMDO",27
"28","PENSTP","Idaho CRMONM AIM",28
"29","PENSTP","Nevada BMDO",6
"30","PENSTP","Nevada EKDO",46
"31","PENSTP","Nevada EYDO",10
"32","PENSTP","Nevada SNDO",4
"33","PENSTP","Nevada Winnemucca ESR",89
"34","PENSTP","Nevada WMDO",17
"35","PENSTP","Utah Grand Staircase Escalante NM",14
"36","PF101","California NorCal",2
"37","PF101","Nevada Winnemucca ESR",1
"38","AAFF","California Applegate FO",4
"39","AAFF","Colorado White River FO",4
"40","AAFF","Idaho CRMONM AIM",1
"41","AAFF","Nevada CCDO",6
"42","AAFF","Nevada EKDO",16
"43","AAFF","Nevada SNDO",1
"44","AAFF","Nevada Winnemucca ESR",41
"45","AAFF","Nevada WMDO",2
"46","AAFF","New Mexico RGdNNM",6
"47","ALLIUM","Nevada Winnemucca ESR",14
"48","ARABIS","Nevada Winnemucca ESR",6
"49","CREPIS","Colorado Gunnison FO",2
"50","CREPIS","Nevada Winnemucca ESR",7
"51","CRYPTA","Idaho CRMONM AIM",4
"52","CRYPTA","Nevada BMDO",4
"53","CRYPTA","Nevada CCDO",7
"54","CRYPTA","Nevada EKDO",16
"55","CRYPTA","Nevada EYDO",1
